retailerId,siqId
2116570000406,SIQ260300000001
182346006783,SIQ270100000001
182346007100,SIQ270100000001
182346007155,SIQ270100000001
182346007308,SIQ270100000001
182346008107,SIQ270100000001
182346008176,SIQ270100000001
182346008251,SIQ270100000001
182346008459,SIQ270100000001
182346008503,SIQ270100000001
182346008596,SIQ270100000001
182346008633,SIQ270100000001
182346008657,SIQ270100000001
182346008763,SIQ270100000001
182346008855,SIQ270100000001
182346009487,SIQ270100000001
182346009609,SIQ270100000001
182346009647,SIQ270100000001
182346009661,SIQ270100000001
182346009685,SIQ270100000001
182346009708,SIQ270100000001
182346010018,SIQ270100000001
182346010025,SIQ270100000001
182346010049,SIQ270100000001
182346010056,SIQ270100000001
182346010063,SIQ270100000001
182346010070,SIQ270100000001
182346010087,SIQ270100000001
182346010094,SIQ270100000001
182346010100,SIQ270100000001
182346010117,SIQ270100000001
182346010131,SIQ270100000001
182346010186,SIQ270100000001
182346010193,SIQ270100000001
182346010247,SIQ270100000001
182346010254,SIQ270100000001
182346010285,SIQ270100000001
182346010308,SIQ270100000001
182346010315,SIQ270100000001
182346010339,SIQ270100000001
182346010384,SIQ270100000001
182346010421,SIQ270100000001
182346010452,SIQ270100000001
182346010476,SIQ270100000001
182346010490,SIQ270100000001
182346010506,SIQ270100000001
182346010551,SIQ270100000001
182346010582,SIQ270100000001
182346010599,SIQ270100000001
182346010605,SIQ270100000001
182346010629,SIQ270100000001
182346010636,SIQ270100000001
182346010681,SIQ270100000001
182346010698,SIQ270100000001
182346010742,SIQ270100000001
182346010759,SIQ270100000001
182346010773,SIQ270100000001
182346010841,SIQ270100000001
182346010865,SIQ270100000001
182346010889,SIQ270100000001
182346010896,SIQ270100000001
182346010919,SIQ270100000001
182346010926,SIQ270100000001
182346010933,SIQ270100000001
182346010957,SIQ270100000001
182346010964,SIQ270100000001
182346011008,SIQ270100000001
182346011077,SIQ270100000001
182346011084,SIQ270100000001
182346011091,SIQ270100000001
182346011114,SIQ270100000001
182346011138,SIQ270100000001
182346011176,SIQ270100000001
182346011206,SIQ270100000001
182346011213,SIQ270100000001
182346011237,SIQ270100000001
182346011251,SIQ270100000001
182346011268,SIQ270100000001
182346011275,SIQ270100000001
182346011312,SIQ270100000001
182346011336,SIQ270100000001
182346011343,SIQ270100000001
182346011350,SIQ270100000001
182346011374,SIQ270100000001
182346011411,SIQ270100000001
182346011428,SIQ270100000001
182346011442,SIQ270100000001
182346011459,SIQ270100000001
182346011466,SIQ270100000001
182346011473,SIQ270100000001
182346011480,SIQ270100000001
182346011497,SIQ270100000001
182346011503,SIQ270100000001
182346011510,SIQ270100000001
182346011527,SIQ270100000001
182346011534,SIQ270100000001
182346011541,SIQ270100000001
182346011558,SIQ270100000001
182346011565,SIQ270100000001
182346011596,SIQ270100000001
182346011602,SIQ270100000001
182346011619,SIQ270100000001
